"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50122428","2.92959142","2.80217075","3.01983333","2.6607554","2.48221588","2.17760348","2.01404786","1.87520587","2.03098321","2.77452183","2.73921561","2.71204996","2.75379777","3.14859223","2.93535352","2.75887132","2.61894512","2.81542587","2.49952674","3.58067584","3.06314707","2.85039449","2.30815935","","",
"Australia","AUS","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45143652","5.45680571","5.66308641","5.61926126","5.79416561","5.72175741","5.71296024","5.8701992","5.96531916","6.23710108","6.0919981","6.2522192","6.17619228","5.92386961","6.89110136","7.2235322","7.20443821","7.23039198","7.19087696","7.53765869","7.85286617","7.93791485","7.34881544","7.65963793","","",
"Austria","AUT","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.86705208","6.86088991","6.95735025","7.01927948","7.05908728","7.05110073","7.01176453","6.98812008","7.23871469","7.50799561","7.45021629","7.34409189","7.49027205","7.49345398","7.59864187","7.5736208","7.54772329","7.71547127","7.75579357","7.88670015","8.71023846","9.46212482","8.65631485","8.532197","","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86689276","0.80511665","0.73890811","0.7737512","0.86166471","0.89067221","0.8678329","0.90984386","0.86519617","1.13348269","1.01347423","0.94998968","1.11568439","1.06625199","1.13015568","1.30528009","1.16546094","1.00444698","0.88865483","1.06925082","2.32817769","1.48136711","0.95312107","1.39353979","","",
"Burundi","BDI","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46507239","1.69244206","1.5355022","1.35508084","2.3681941","2.06248069","2.36401343","2.46383238","1.5591383","2.08079624","1.9852922","3.47107577","2.66949105","1.54086971","2.78679872","2.4195447","2.23587942","2.01362443","2.0575192","2.27763605","2.1569612","2.22447824","1.58512878","1.34036565","","",
"Belgium","BEL","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.96185923","6.13948441","6.13245678","6.78976488","6.99315739","6.8955164","6.80566692","6.77384472","7.26614666","7.84423971","7.7745738","7.83494329","7.99403429","7.99912691","8.03469563","8.26822186","8.31613922","8.3176775","8.32855988","8.08414745","8.72537518","8.49062634","7.9360981","7.95761585","","",
"Benin","BEN","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13417935","1.20063126","0.93714452","1.05233788","1.15381396","1.04785359","1.06306994","0.95481884","0.74250972","0.86784607","0.7522946","0.65150005","0.74686456","0.76463026","0.57532531","0.59082586","0.71389222","0.70637327","0.66673458","0.45625761","0.51122105","0.33374113","0.50720674","0.4894892","","",
"Burkina Faso","BFA","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96129316","0.97162038","1.05799043","0.9801873","1.69977903","1.22285259","1.43097806","1.43212855","1.36111355","1.64177847","1.30630887","1.34620178","1.06450117","1.61236513","1.62685239","1.45618761","2.38693118","2.6879499","2.12523532","2.23602796","2.84514332","2.73058271","2.62870407","2.45250058","","",
"Bangladesh","BGD","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.50841981","0.38396508","0.47014153","0.48277113","0.48091501","0.45040676","0.47882023","0.48857561","0.44322866","0.43522108","0.47062662","0.4823136","0.46968287","0.4372614","0.4220427","0.38844827","0.4755646","0.50250494","0.48568422","0.36105901","0.35576752","0.38806468","0.34193528","0.31430635","","",
"Bulgaria","BGR","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4715004","3.84590173","4.20194769","4.37132454","4.09508371","4.10456991","3.63341045","3.43214798","3.48064542","3.54883742","3.91909194","3.84521842","3.82989573","4.03953886","4.47450733","4.13284254","4.11281013","4.11801386","4.23101759","4.2107811","5.05085564","5.52486372","4.77777004","4.97369862","","",
"Bahrain","BHR","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27505612","2.39680648","2.5144496","2.45939231","2.25912499","2.18422818","2.06908512","2.03086805","2.00388288","2.74579287","2.55753851","2.42909908","2.58166146","2.70170784","2.75321245","3.08921409","2.8373127","2.44733834","2.31990647","2.20524931","2.86910701","2.75866771","2.37968802","2.36801171","","",
"Bahamas, The","BHS","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50591624","1.56618142","1.50943291","1.62846565","1.611678","1.58765554","1.65727472","1.80025303","2.08452892","2.34723687","2.36928177","2.37497997","2.31367421","2.59359813","2.53589177","2.32609415","2.71795917","3.57633185","2.79429245","2.87397003","4.37366199","3.51553249","3.99245048","3.18650889","","",
"Bosnia and Herzegovina","BIH","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07377338","4.31801033","4.4219141","5.47854805","5.16201019","4.81401253","4.84716463","5.12106037","5.28242588","6.13346386","6.13426924","6.20625067","6.50727367","6.57830858","6.66444492","6.39630365","6.47960949","6.18360281","6.1210475","6.13385725","6.75351286","6.52639914","5.73453379","6.00363779","","",
